n,w_bits,s_bits,bucket_size,m_delimiters,e_bits,i_bits,s_required_bits,s_margin_bits,checks,trials,successes,failures,fail_rate,success_rate,avg_attempts_success,p50_attempts_success,p95_attempts_success,max_attempts_success,epsilon_target_query,theory_query_fp_by_s
4096,64,32,256,16,8,8,11,21,6,128,128,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.00000000
4096,256,32,256,16,16,8,11,21,8,128,128,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.00000000
16384,64,32,256,64,8,8,11,21,6,128,128,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.00000000
16384,256,32,256,64,16,8,11,21,8,128,128,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.00000000
65536,64,32,256,256,8,16,11,21,6,128,128,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.00000000
65536,256,32,256,256,16,16,11,21,8,128,128,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.00000000
131072,64,32,256,512,8,16,11,21,6,128,128,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.00000000
131072,256,32,256,512,16,16,11,21,8,128,128,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.00000000
