n,w_bits,s_bits,bucket_size,m_delimiters,e_bits,i_bits,s_required_bits,s_margin_bits,checks,trials,successes,failures,fail_rate,success_rate,avg_attempts_success,p50_attempts_success,p95_attempts_success,max_attempts_success,epsilon_target_query,theory_query_fp_by_s
4096,64,8,256,16,8,8,11,-3,6,128,0,128,1.00000000,0.00000000,0.000000,0.00,0.00,0,0.00390625,0.02320981
4096,256,8,256,16,16,8,11,-3,8,128,0,128,1.00000000,0.00000000,0.000000,0.00,0.00,0,0.00390625,0.03082608
16384,64,8,256,64,8,8,11,-3,6,128,0,128,1.00000000,0.00000000,0.000000,0.00,0.00,0,0.00390625,0.02320981
16384,256,8,256,64,16,8,11,-3,8,128,0,128,1.00000000,0.00000000,0.000000,0.00,0.00,0,0.00390625,0.03082608
65536,64,8,256,256,8,16,11,-3,6,128,0,128,1.00000000,0.00000000,0.000000,0.00,0.00,0,0.00390625,0.02320981
65536,256,8,256,256,16,16,11,-3,8,128,0,128,1.00000000,0.00000000,0.000000,0.00,0.00,0,0.00390625,0.03082608
131072,64,8,256,512,8,16,11,-3,6,128,0,128,1.00000000,0.00000000,0.000000,0.00,0.00,0,0.00390625,0.02320981
131072,256,8,256,512,16,16,11,-3,8,128,0,128,1.00000000,0.00000000,0.000000,0.00,0.00,0,0.00390625,0.03082608
