n,w_bits,s_bits,bucket_size,m_delimiters,e_bits,i_bits,s_required_bits,s_margin_bits,checks,trials,successes,failures,fail_rate,success_rate,avg_attempts_success,p50_attempts_success,p95_attempts_success,max_attempts_success,epsilon_target_query,theory_query_fp_by_s
4096,128,16,256,16,8,8,11,5,7,64,64,0,0.00000000,1.00000000,1.078125,1.00,2.00,2,0.00390625,0.00010681
4096,128,32,256,16,8,8,11,21,7,64,64,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.00000000
4096,256,8,256,16,16,8,11,-3,8,64,0,64,1.00000000,0.00000000,0.000000,0.00,0.00,0,0.00390625,0.03082608
4096,256,16,256,16,16,8,11,5,8,64,64,0,0.00000000,1.00000000,1.062500,1.00,2.00,2,0.00390625,0.00012206
4096,256,32,256,16,16,8,11,21,8,64,64,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.00000000
4096,512,8,256,16,16,8,12,-4,9,64,0,64,1.00000000,0.00000000,0.000000,0.00,0.00,0,0.00390625,0.03461191
4096,512,16,256,16,16,8,12,4,9,64,64,0,0.00000000,1.00000000,1.062500,1.00,2.00,2,0.00390625,0.00013732
4096,512,32,256,16,16,8,12,20,9,64,64,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.00000000
4096,1024,8,256,16,16,8,12,-4,10,64,0,64,1.00000000,0.00000000,0.000000,0.00,0.00,0,0.00390625,0.03838296
4096,1024,16,256,16,16,8,12,4,10,64,64,0,0.00000000,1.00000000,1.125000,1.00,2.00,2,0.00390625,0.00015258
4096,1024,32,256,16,16,8,12,20,10,64,64,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.00000000
4096,2048,8,256,16,16,8,12,-4,11,64,0,64,1.00000000,0.00000000,0.000000,0.00,0.00,0,0.00390625,0.04213927
4096,2048,16,256,16,16,8,12,4,11,64,64,0,0.00000000,1.00000000,1.125000,1.00,2.00,2,0.00390625,0.00016783
4096,2048,32,256,16,16,8,12,20,11,64,64,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.00000000
8192,64,8,256,32,8,8,11,-3,6,64,0,64,1.00000000,0.00000000,0.000000,0.00,0.00,0,0.00390625,0.02320981
8192,64,16,256,32,8,8,11,5,6,64,64,0,0.00000000,1.00000000,1.140625,1.00,2.00,2,0.00390625,0.00009155
8192,64,32,256,32,8,8,11,21,6,64,64,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.00000000
8192,128,8,256,32,8,8,11,-3,7,64,0,64,1.00000000,0.00000000,0.000000,0.00,0.00,0,0.00390625,0.02702539
8192,128,16,256,32,8,8,11,5,7,64,64,0,0.00000000,1.00000000,1.171875,1.00,2.00,3,0.00390625,0.00010681
8192,128,32,256,32,8,8,11,21,7,64,64,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.00000000
8192,256,8,256,32,16,8,11,-3,8,64,0,64,1.00000000,0.00000000,0.000000,0.00,0.00,0,0.00390625,0.03082608
8192,256,16,256,32,16,8,11,5,8,64,64,0,0.00000000,1.00000000,1.187500,1.00,2.00,3,0.00390625,0.00012206
8192,256,32,256,32,16,8,11,21,8,64,64,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.00000000
8192,512,8,256,32,16,8,12,-4,9,64,0,64,1.00000000,0.00000000,0.000000,0.00,0.00,0,0.00390625,0.03461191
8192,512,16,256,32,16,8,12,4,9,64,64,0,0.00000000,1.00000000,1.312500,1.00,2.00,3,0.00390625,0.00013732
8192,512,32,256,32,16,8,12,20,9,64,64,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.00000000
8192,1024,8,256,32,16,8,12,-4,10,64,0,64,1.00000000,0.00000000,0.000000,0.00,0.00,0,0.00390625,0.03838296
8192,1024,16,256,32,16,8,12,4,10,64,64,0,0.00000000,1.00000000,1.390625,1.00,3.00,4,0.00390625,0.00015258
8192,1024,32,256,32,16,8,12,20,10,64,64,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.00000000
8192,2048,8,256,32,16,8,12,-4,11,64,0,64,1.00000000,0.00000000,0.000000,0.00,0.00,0,0.00390625,0.04213927
8192,2048,16,256,32,16,8,12,4,11,64,64,0,0.00000000,1.00000000,1.406250,1.00,3.00,4,0.00390625,0.00016783
8192,2048,32,256,32,16,8,12,20,11,64,64,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.00000000
16384,64,8,256,64,8,8,11,-3,6,64,0,64,1.00000000,0.00000000,0.000000,0.00,0.00,0,0.00390625,0.02320981
16384,64,16,256,64,8,8,11,5,6,64,64,0,0.00000000,1.00000000,1.359375,1.00,3.00,4,0.00390625,0.00009155
16384,64,32,256,64,8,8,11,21,6,64,64,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.00000000
16384,128,8,256,64,8,8,11,-3,7,64,0,64,1.00000000,0.00000000,0.000000,0.00,0.00,0,0.00390625,0.02702539
16384,128,16,256,64,8,8,11,5,7,64,64,0,0.00000000,1.00000000,1.546875,1.00,3.00,5,0.00390625,0.00010681
16384,128,32,256,64,8,8,11,21,7,64,64,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.00000000
16384,256,8,256,64,16,8,11,-3,8,64,0,64,1.00000000,0.00000000,0.000000,0.00,0.00,0,0.00390625,0.03082608
16384,256,16,256,64,16,8,11,5,8,64,64,0,0.00000000,1.00000000,1.421875,1.00,3.00,5,0.00390625,0.00012206
