n,w_bits,s_bits,bucket_size,m_delimiters,e_bits,i_bits,s_required_bits,s_margin_bits,checks,trials,successes,failures,fail_rate,success_rate,avg_attempts_success,p50_attempts_success,p95_attempts_success,max_attempts_success,avg_size_bytes_success,avg_size_bits_success,bpk,epsilon_target_query,theory_query_fp_by_s
4096,64,16,256,16,8,8,11,5,6,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,7616.000000,60928.000000,14.875000,0.00390625,0.00009155
4096,64,32,256,16,8,8,11,21,6,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,7648.000000,61184.000000,14.937500,0.00390625,0.00000000
4096,128,8,256,16,8,8,11,-3,7,1,0,1,1.00000000,0.00000000,0.000000,0.00,0.00,0,none,none,none,0.00390625,0.02702539
4096,128,16,256,16,8,8,11,5,7,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,7728.000000,61824.000000,15.093750,0.00390625,0.00010681
4096,128,32,256,16,8,8,11,21,7,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,7736.000000,61888.000000,15.109375,0.00390625,0.00000000
4096,256,8,256,16,16,8,11,-3,8,1,0,1,1.00000000,0.00000000,0.000000,0.00,0.00,0,none,none,none,0.00390625,0.03082608
4096,256,16,256,16,16,8,11,5,8,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,7976.000000,63808.000000,15.578125,0.00390625,0.00012206
4096,256,32,256,16,16,8,11,21,8,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,8024.000000,64192.000000,15.671875,0.00390625,0.00000000
4096,512,8,256,16,16,8,12,-4,9,1,0,1,1.00000000,0.00000000,0.000000,0.00,0.00,0,none,none,none,0.00390625,0.03461191
4096,512,16,256,16,16,8,12,4,9,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,8488.000000,67904.000000,16.578125,0.00390625,0.00013732
4096,512,32,256,16,16,8,12,20,9,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,8536.000000,68288.000000,16.671875,0.00390625,0.00000000
4096,1024,8,256,16,16,8,12,-4,10,1,0,1,1.00000000,0.00000000,0.000000,0.00,0.00,0,none,none,none,0.00390625,0.03838296
4096,1024,16,256,16,16,8,12,4,10,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,9520.000000,76160.000000,18.593750,0.00390625,0.00015258
4096,1024,32,256,16,16,8,12,20,10,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,9672.000000,77376.000000,18.890625,0.00390625,0.00000000
4096,2048,8,256,16,16,8,12,-4,11,1,0,1,1.00000000,0.00000000,0.000000,0.00,0.00,0,none,none,none,0.00390625,0.04213927
4096,2048,16,256,16,16,8,12,4,11,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,11528.000000,92224.000000,22.515625,0.00390625,0.00016783
4096,2048,32,256,16,16,8,12,20,11,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,11720.000000,93760.000000,22.890625,0.00390625,0.00000000
8192,64,8,256,32,8,8,11,-3,6,1,0,1,1.00000000,0.00000000,0.000000,0.00,0.00,0,none,none,none,0.00390625,0.02320981
8192,64,16,256,32,8,8,11,5,6,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,15152.000000,121216.000000,14.796875,0.00390625,0.00009155
8192,64,32,256,32,8,8,11,21,6,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,15176.000000,121408.000000,14.820312,0.00390625,0.00000000
8192,128,8,256,32,8,8,11,-3,7,1,0,1,1.00000000,0.00000000,0.000000,0.00,0.00,0,none,none,none,0.00390625,0.02702539
8192,128,16,256,32,8,8,11,5,7,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,15488.000000,123904.000000,15.125000,0.00390625,0.00010681
8192,128,32,256,32,8,8,11,21,7,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,15320.000000,122560.000000,14.960938,0.00390625,0.00000000
8192,256,8,256,32,16,8,11,-3,8,1,0,1,1.00000000,0.00000000,0.000000,0.00,0.00,0,none,none,none,0.00390625,0.03082608
8192,256,16,256,32,16,8,11,5,8,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,16280.000000,130240.000000,15.898438,0.00390625,0.00012206
