n,w_bits,s_bits,bucket_size,m_delimiters,e_bits,i_bits,s_required_bits,s_margin_bits,checks,trials,successes,failures,fail_rate,success_rate,avg_attempts_success,p50_attempts_success,p95_attempts_success,max_attempts_success,epsilon_target_query,theory_query_fp_by_s
4096,64,16,256,16,8,8,11,5,6,128,128,0,0.00000000,1.00000000,1.085938,1.00,2.00,3,0.00390625,0.00009155
4096,256,16,256,16,16,8,11,5,8,128,128,0,0.00000000,1.00000000,1.078125,1.00,2.00,3,0.00390625,0.00012206
16384,64,16,256,64,8,8,11,5,6,128,128,0,0.00000000,1.00000000,1.570312,1.00,3.00,6,0.00390625,0.00009155
16384,256,16,256,64,16,8,11,5,8,128,128,0,0.00000000,1.00000000,1.585938,1.00,3.00,5,0.00390625,0.00012206
65536,64,16,256,256,8,16,11,5,6,128,128,0,0.00000000,1.00000000,5.500000,4.00,18.00,31,0.00390625,0.00009155
65536,256,16,256,256,16,16,11,5,8,128,128,0,0.00000000,1.00000000,10.539062,7.00,30.00,41,0.00390625,0.00012206
131072,64,16,256,512,8,16,11,5,6,128,60,68,0.53125000,0.46875000,48.183333,46.00,97.00,98,0.00390625,0.00009155
131072,256,16,256,512,16,16,11,5,8,128,14,114,0.89062500,0.10937500,50.142857,42.00,94.00,98,0.00390625,0.00012206
